,,SARIMA,,,,,,,,ARIMA,,,,,,,,LSTM,,,,,
,test,predict,item,abs(diff),diff,3 months,,,test,predict,item,abs(diff),diff,3 months,,,test,predict,item,abs(diff),diff,3 months,Winner
m+3,3,1,M80-TICK-V2-BLK,2,-2,,,m+3,3,6,M80-TICK-V2-BLK,3,3,,,m+3,3,3,M80-TICK-V2-BLK,0,0,,
m+1,1,2,M80-TOUR-V2-BLK,1,1,2,,m+1,1,2,M80-TOUR-V2-BLK,1,1,7,,m+1,1,1,M80-TOUR-V2-BLK,0,0,0,LSTM
m+2,1,3,M80-TOUR-V2-BLK,2,2,,,m+2,1,4,M80-TOUR-V2-BLK,1,3,,,m+2,1,1,M80-TOUR-V2-BLK,0,0,,
m+3,1,0,M80-TOUR-V2-BLK,1,-1,,,m+3,1,4,M80-TOUR-V2-BLK,1,3,,,m+3,1,1,M80-TOUR-V2-BLK,0,0,,
m+1,6,5,M80-VAD-BLK,1,-1,4,,m+1,6,2,M80-VAD-BLK,6,-4,-3,,m+1,6,3,M80-VAD-BLK,3,-3,-2,LSTM
m+2,3,5,M80-VAD-BLK,2,2,,,m+2,3,2,M80-VAD-BLK,3,-1,,,m+2,3,2,M80-VAD-BLK,1,-1,,
m+3,0,3,M80-VAD-BLK,3,3,,,m+3,0,2,M80-VAD-BLK,0,2,,,m+3,0,2,M80-VAD-BLK,2,2,,
m+1,8,0,M80-VEB-BLK,8,-8,-11,,m+1,8,1,M80-VEB-BLK,8,-7,-10,,m+1,8,2,M80-VEB-BLK,6,-6,-7,LSTM
m+2,2,0,M80-VEB-BLK,2,-2,,,m+2,2,1,M80-VEB-BLK,2,-1,,,m+2,2,2,M80-VEB-BLK,0,0,,
m+3,3,2,M80-VEB-BLK,1,-1,,,m+3,3,1,M80-VEB-BLK,3,-2,,,m+3,3,2,M80-VEB-BLK,1,-1,,
m+1,0,4,M80-VEB-GRY,4,4,11,,m+1,0,3,M80-VEB-GRY,0,3,8,,m+1,0,1,M80-VEB-GRY,1,1,1,LSTM
m+2,0,5,M80-VEB-GRY,5,5,,,m+2,0,3,M80-VEB-GRY,0,3,,,m+2,0,1,M80-VEB-GRY,1,1,,
m+3,1,3,M80-VEB-GRY,2,2,,,m+3,1,3,M80-VEB-GRY,1,2,,,m+3,1,0,M80-VEB-GRY,1,-1,,
m+1,6,9,M80-VEG-BLK,3,3,3,,m+1,6,5,M80-VEG-BLK,6,-1,4,,m+1,6,3,M80-VEG-BLK,3,-3,0,LSTM
m+2,2,2,M80-VEG-BLK,0,0,,,m+2,2,5,M80-VEG-BLK,2,3,,,m+2,2,4,M80-VEG-BLK,2,2,,
