order_id,order_date,order_total_price,product_price,order_discounts,product_discount,order_status,product_title,product_sku,product_quantity,product_category,weekdays,sch_holidays
20485,2018-01-08,150.0,249.99,no,0.0,fulfilled,"MONO Vertigo Acoustic Guitar Case, Black",M80-VAD-BLK,1,Acoustic Guitar Cases & Gig Bags,1,Non Holidays
20474,2018-01-09,,229.99,no,229.99,fulfilled,"MONO Classic FlyBy Backpack, Black",EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
20477,2018-01-09,135.48,229.99,no,0.0,fulfilled,"MONO Classic FlyBy Backpack, Black",EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
20473,2018-01-09,,229.99,no,229.99,fulfilled,"MONO Classic FlyBy Backpack, Black",EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
20467,2018-01-09,199.98,49.99,yes,0.0,fulfilled,"MONO Betty Guitar Strap, Short, Ash",M80-BTY-ASH-S,1,Guitar Straps,2,Non Holidays
20467,2018-01-09,199.98,149.99,yes,0.0,fulfilled,"MONO Sleeve Electric Guitar Case, Ash",M80-SEG-ASH,1,Electric Guitar Cases & Gig Bags,2,Non Holidays
20464,2018-01-10,495.62,269.99,yes,0.0,fulfilled,"MONO Pedalboard Large, Black",PFX-PB-L-BLK,1,Pedalboards,3,Non Holidays
20464,2018-01-10,495.62,199.99,yes,0.0,fulfilled,"MONO Pro Accessory Case 2.0, Black",M80-PRO-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,3,Non Holidays
20462,2018-01-10,,149.99,no,149.99,fulfilled,"MONO Classic Club Pedalboard Case, Black",M80-PB1-BLK,1,Pedals & Pedalboards Cases & Gig Bags,3,Non Holidays
20466,2018-01-10,194.84,179.99,yes,0.0,fulfilled,"MONO Sleeve Acoustic Guitar Case, Black",M80-SAD-BLK,1,Acoustic Guitar Cases & Gig Bags,3,Non Holidays
20463,2018-01-10,,189.99,no,189.99,fulfilled,"MONO Cymbal Case 22"", Black",M80-CY22-BLK,1,Drum & Percussion Cases & Gig Bags,3,Non Holidays
20475,2018-01-09,329.99,329.99,yes,0.0,fulfilled,"MONO Classic Dual Electric Guitar Case, Black",M80-2G-BLK,1,Electric Guitar Cases & Gig Bags,2,Non Holidays
20461,2018-01-10,,229.99,no,229.99,fulfilled,"MONO Classic FlyBy Backpack, Black",EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,3,Non Holidays
20459,2018-01-10,62.24,49.99,yes,0.0,fulfilled,"MONO Betty Guitar Strap, Long, Ash",M80-BTY-ASH-L,1,Guitar Straps,3,Non Holidays
20450,2018-01-11,469.98,199.99,yes,0.0,fulfilled,"MONO Pro Accessory Case 2.0, Black",M80-PRO-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,4,Non Holidays
20450,2018-01-11,469.98,269.99,yes,0.0,fulfilled,"MONO Pedalboard Large, Silver",PFX-PB-L-SLV,1,Pedalboards,4,Non Holidays
22690,2018-01-12,339.98,89.99,yes,0.0,fulfilled,"MONO Classic Tick Accessory Case 2.0, Black",M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,5,Non Holidays
