order_id,order_date,order_total_price,product_price,order_discounts,product_discount,order_status,product_title,product_sku,product_quantity,product_category
22592,2018-01-22,,229.99,no,229.99,fulfilled,Acoustic (Classical / OM),M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags
22585,2018-01-23,165.0,329.99,no,0.0,fulfilled,Dual Electric Bass,M80-2B-BLK,1,Bass Guitar Cases & Gig Bags
22593,2018-01-22,178.42,249.99,no,0.0,fulfilled,Vertigo™ Electric Bass,M80-VEB-BLK,1,Bass Guitar Cases & Gig Bags
22591,2018-01-22,209.68,149.99,yes,0.0,fulfilled,Guitar Sleeve™,M80-SEG-BLK,1,Electric Guitar Cases & Gig Bags
22581,2018-01-24,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Acoustic Guitar,M80-VAD-BLK,1,Acoustic Guitar Cases & Gig Bags
22573,2018-01-24,187.5,249.99,no,0.0,fulfilled,Vertigo™ Acoustic Guitar,M80-VAD-BLK,1,Acoustic Guitar Cases & Gig Bags
22575,2018-01-24,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Electric Guitar,M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags
22569,2018-01-25,273.73,249.99,yes,0.0,fulfilled,Vertigo™ Semi-Hollow,M80-VHB-BLK,1,Electric Guitar Cases & Gig Bags
22568,2018-01-25,229.99,229.99,yes,0.0,fulfilled,Acoustic (Classical / OM),M80-AC-BLK,1,Acoustic Guitar Cases & Gig Bags
20476,2018-01-09,49.99,49.99,yes,0.0,fulfilled,The Betty (Black-Short),M80-BTY-BLK-S,1,Guitar Straps
22561,2018-01-26,329.99,329.99,yes,0.0,fulfilled,Dual Electric Bass,M80-2B-BLK,1,Bass Guitar Cases & Gig Bags
22562,2018-01-26,329.99,329.99,yes,0.0,fulfilled,Dual Electric Guitar,M80-2G-BLK,1,Electric Guitar Cases & Gig Bags
22556,2018-01-28,,249.99,no,249.99,,Vertigo™ Electric Bass (Grey),M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags
22645,2018-01-17,,329.99,no,329.99,fulfilled,Dual Electric Guitar,M80-2G-BLK,1,Electric Guitar Cases & Gig Bags
22644,2018-01-17,,249.99,no,249.99,fulfilled,Vertigo™ Electric Bass (Grey),M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags
22559,2018-01-27,361.33,329.99,yes,0.0,fulfilled,Dual Electric Guitar,M80-2G-BLK,1,Electric Guitar Cases & Gig Bags
22555,2018-01-28,,329.99,no,329.99,fulfilled,Dual Electric Guitar,M80-2G-BLK,1,Electric Guitar Cases & Gig Bags
22557,2018-01-28,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Acoustic Guitar,M80-VAD-BLK,1,Acoustic Guitar Cases & Gig Bags
22558,2018-01-28,164.23,149.99,yes,0.0,fulfilled,Bass Sleeve™ (Black),M80-SEB-BLK,1,Bass Guitar Cases & Gig Bags
22549,2018-01-29,102.99,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
22537,2018-01-31,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Electric Bass (Grey),M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags
22528,2018-02-01,,329.99,no,329.99,fulfilled,Dual Electric Guitar,M80-2G-BLK,1,Electric Guitar Cases & Gig Bags
22533,2018-01-31,,329.99,no,329.99,fulfilled,Dual Electric Guitar,M80-2G-BLK,1,Electric Guitar Cases & Gig Bags
22533,2018-01-31,,89.99,no,89.99,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
20517,2018-01-05,1584.65,149.99,yes,0.0,fulfilled,Guitar Sleeve™,M80-SEG-BLK,1,Electric Guitar Cases & Gig Bags
20517,2018-01-05,1584.65,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags
22522,2018-02-01,160.86,149.99,yes,0.0,fulfilled,Guitar Sleeve™,M80-SEG-BLK,1,Electric Guitar Cases & Gig Bags
22502,2018-02-05,149.99,149.99,yes,0.0,fulfilled,Guitar Sleeve™ (Ash),M80-SEG-ASH,1,Electric Guitar Cases & Gig Bags
22515,2018-02-04,339.98,249.99,yes,0.0,fulfilled,Vertigo™ Electric Bass (Grey),M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags
22504,2018-02-05,169.99,169.99,yes,0.0,fulfilled,Tour 2.0,M80-TOUR-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags
22481,2018-02-06,62.27,49.99,yes,0.0,fulfilled,The Betty (Black-Long),M80-BTY-BLK-L,1,Guitar Straps
