order_id,order_created_at,order_total_price,order_status,order_discounts,product_title,product_sku,product_quantity,product_discount,product_category,product_deparments,product_created_at,,,
20514,2018-01-06T09:09:29.000Z,64.58,fulfilled,yes,Loop Laptop,CVL-LLT-15-ASH,1,0,Gifts,,2017-10-26T02:57:14.000Z,,,
20513,2018-01-07T17:21:38.000Z,329.99,fulfilled,yes,Dual Acoustic + Electric,M80-2A-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20553,2018-01-02T11:48:59.000Z,,fulfilled,no,Cymbal 22 (Black),M80-CY22-BLK,1,189.99,Drum & Percussion Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20504,2018-01-08T14:54:49.000Z,249.99,fulfilled,yes,Vertigo™ Electric Guitar,M80-VEG-BLK,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20485,2018-01-08T22:01:51.000Z,150,fulfilled,no,Vertigo™ Acoustic Guitar,M80-VAD-BLK,1,0,Acoustic Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20474,2018-01-09T13:12:46.000Z,,fulfilled,no,The FlyBy,EFX-FLY-BLK,1,229.99,DJ Equipment Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20477,2018-01-09T11:49:19.000Z,135.48,fulfilled,no,The FlyBy,EFX-FLY-BLK,1,0,DJ Equipment Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20473,2018-01-09T13:17:08.000Z,,fulfilled,no,The FlyBy,EFX-FLY-BLK,1,229.99,DJ Equipment Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
20467,2018-01-09T19:01:01.000Z,199.98,fulfilled,yes,The Betty (Ash-Short),M80-BTY-ASH-S,1,0,Guitar Straps,,2017-10-26T02:57:14.000Z,,,
20467,2018-01-09T19:01:01.000Z,199.98,fulfilled,yes,Guitar Sleeve™ (Ash),M80-SEG-ASH,1,0,Electric Guitar Cases & Gig Bags,,2017-10-26T02:57:14.000Z,,,
