,order_id,order_date,order_total_price,product_price,order_discounts,product_discount,order_status,product_title,product_sku,product_quantity,product_category,weekdays,sch_holidays
0,20570,2018-01-01,449.97,249.99,yes,0.0,fulfilled,Vertigo™ Semi-Hollow,M80-VHB-BLK,1,Electric Guitar Cases & Gig Bags,1,Non Holidays
1,20570,2018-01-01,449.97,89.99,yes,0.0,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,1,Non Holidays
2,20570,2018-01-01,449.97,109.99,yes,0.0,fulfilled,Pedalboard Lite (Silver),PFX-PB-LT-SLV,1,Pedalboards,1,Non Holidays
3,20556,2018-01-02,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Semi-Hollow,M80-VHB-BLK,1,Electric Guitar Cases & Gig Bags,2,Non Holidays
4,20554,2018-01-02,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
5,20573,2018-01-01,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Electric Guitar,M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags,1,Non Holidays
6,20575,2017-12-31,172.67,229.99,no,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,7,Sch Holidays
7,20552,2018-01-02,,169.99,no,169.99,fulfilled,The Fader,EFX-FAD-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
8,20574,2018-01-01,69.56,49.99,yes,0.0,fulfilled,Die Cut Wallet (Sharkskin),CVL-DCW-BLK,1,Wallets,1,Non Holidays
9,20557,2018-01-02,63.91,49.99,yes,0.0,fulfilled,Loop Laptop,CVL-LLT-13-BLK,1,Gifts,2,Non Holidays
10,20551,2018-01-02,,229.99,no,229.99,fulfilled,Acoustic (Dreadnought / Standard),M80-AD-BLK,1,Acoustic Guitar Cases & Gig Bags,2,Non Holidays
11,20555,2018-01-02,229.99,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,2,Non Holidays
12,20547,2018-01-02,135.06,109.99,yes,0.0,fulfilled,Pedalboard Lite (Silver),PFX-PB-LT-SLV,1,Pedalboards,2,Non Holidays
13,20543,2018-01-03,229.99,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,3,Non Holidays
14,20545,2018-01-03,,39.99,no,39.99,fulfilled,The Warsaw (Manta Black),M80-WAR-BLK,1,Guitar Straps,3,Non Holidays
15,20546,2018-01-03,168.04,89.99,no,0.0,fulfilled,The Tick™ 2.0 Grey,M80-TICK-V2-GRY,1,Pedals & Pedalboards Cases & Gig Bags,3,Non Holidays
16,20546,2018-01-03,168.04,109.99,no,0.0,fulfilled,Pedalboard Lite (Black),PFX-PB-LT-BLK,1,Pedalboards,3,Non Holidays
17,20544,2018-01-03,219.99,0.0,yes,0.0,fulfilled,Pedalboard Medium (Black),PFX-PB-M-BLK,1,,3,Non Holidays
18,20541,2018-01-03,,249.99,no,249.99,fulfilled,Vertigo™ Electric Guitar,M80-VEG-BLK,1,Electric Guitar Cases & Gig Bags,3,Non Holidays
19,20542,2018-01-03,,0.0,yes,0.0,fulfilled,Tick Extender Black,TEX-BLK,3,,3,Non Holidays
20,20537,2018-01-03,,0.0,yes,0.0,fulfilled,STICKER,STICKER,5,,3,Non Holidays
21,20539,2018-01-03,249.99,249.99,yes,0.0,fulfilled,Vertigo™ Acoustic Guitar,M80-VAD-BLK,1,Acoustic Guitar Cases & Gig Bags,3,Non Holidays
22,20531,2018-01-04,,229.99,no,229.99,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,4,Non Holidays
23,20540,2018-01-03,,229.99,no,229.99,fulfilled,Single Electric Guitar,M80-EG-BLK,1,Electric Guitar Cases & Gig Bags,3,Non Holidays
24,20536,2018-01-03,246.66,229.99,yes,0.0,fulfilled,Acoustic (Dreadnought / Standard),M80-AD-BLK,1,Acoustic Guitar Cases & Gig Bags,3,Non Holidays
25,20532,2018-01-04,,249.99,no,249.99,fulfilled,Vertigo™ Electric Bass (Grey),M80-VEB-GRY,1,Bass Guitar Cases & Gig Bags,4,Non Holidays
26,20534,2018-01-04,329.99,329.99,yes,0.0,fulfilled,Dual Acoustic + Electric,M80-2A-BLK,1,Electric Guitar Cases & Gig Bags,4,Non Holidays
27,20527,2018-01-05,104.56,39.99,yes,0.0,fulfilled,The Warsaw (Manta Black),M80-WAR-BLK,2,Guitar Straps,5,Non Holidays
28,20526,2018-01-05,229.99,229.99,yes,0.0,fulfilled,The FlyBy,EFX-FLY-BLK,1,DJ Equipment Cases & Gig Bags,5,Non Holidays
29,20516,2018-01-05,329.99,329.99,yes,0.0,fulfilled,Dual Electric Bass,M80-2B-BLK,1,Bass Guitar Cases & Gig Bags,5,Non Holidays
30,20515,2018-01-05,149.99,149.99,yes,0.0,fulfilled,Drum Pedal,M80-DP-BLK,1,Drum & Percussion Cases & Gig Bags,5,Non Holidays
31,20511,2018-01-07,,0.0,yes,0.0,fulfilled,Side-release Buckle Large,SRB-L-BLK,1,,7,Non Holidays
32,20533,2018-01-04,,89.99,no,89.99,fulfilled,The Tick™ 2.0 Black,M80-TICK-V2-BLK,1,Pedals & Pedalboards Cases & Gig Bags,4,Non Holidays
