"id","title","sku","price_usd","category","tags","created_at"
34707,"MONO Die Cut Wallet, Black","CVL-DCW-BLK",49.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34708,"MONO Die Cut Wallet, Ash","CVL-DCW-ASH",49.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34709,"MONO Passport Wallet, Jet Black","CVL-PPW-BLK",59.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34710,"MONO Passport Wallet, Gloss White","CVL-PPW-WHT",59.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34711,"MONO Loop Laptop Sleeve 13"", Black","CVL-LLT-13-BLK",49.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34712,"MONO Loop Laptop Sleeve 13"", Ash","CVL-LLT-13-ASH",49.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34713,"MONO Loop Laptop Sleeve 13"", White","CVL-LLT-13-WHT",49.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34714,"MONO Loop Laptop Sleeve 15"", Black","CVL-LLT-15-BLK",49.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34715,"MONO Loop Laptop Sleeve 15"", Ash","CVL-LLT-15-ASH",49.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34716,"MONO Loop Laptop Sleeve 15"", White","CVL-LLT-15-WHT",49.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34717,"MONO Loop Laptop Sleeve 17"", Black","CVL-LLT-17-BLK",49.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34718,"MONO Loop iPad Sleeve, Black","CVL-LPD-BLK",39.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34719,"MONO Loop iPad Sleeve, Ash","CVL-LPD-ASH",39.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34720,"MONO Loop iPad Sleeve, White","CVL-LPD-WHT",39.99,"Gifts","Lifestyle & Gifts","2017-10-26T02:57:14.000Z"
34721,"MONO Expander Backpack, Black","CVL-XPK-BLK",129.99,"DJ Equipment Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
34722,"MONO Classic FlyBy Backpack, Black","EFX-FLY-BLK",229.99,"DJ Equipment Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
35256,"MONO Classic Bass Guitar Case, Black","M80-EB-BLK",229.99,"Bass Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
35687,"MONO Sleeve Electric Guitar Case, Black","M80-SEG-BLK",149.99,"Electric Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
35688,"MONO Sleeve Electric Guitar Case, Ash","M80-SEG-ASH",149.99,"Electric Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
35689,"MONO Sleeve Bass Guitar Case, Black","M80-SEB-BLK",149.99,"Bass Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
35690,"MONO Sleeve Bass Guitar Case, Ash","M80-SEB-ASH",149.99,"Bass Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
36970,"MONO Vertigo Acoustic Guitar Case, Black","M80-VAD-BLK",249.99,"Acoustic Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
39985,"MONO Sleeve Acoustic Guitar Case, Black","M80-SAD-BLK",179.99,"Acoustic Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
39986,"MONO Sleeve Acoustic Guitar Case, Ash","M80-SAD-ASH",179.99,"Acoustic Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
39987,"MONO Classic Dual Acoustic/Electric Guitar Case, Black","M80-2A-BLK",329.99,"Electric Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
43874,"MONO Classic Acoustic Parlor Guitar Case, Black","M80-AP-BLK",199.99,"Acoustic Guitar Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
44674,"MONO Doolittle Guitar Strap, Brown Sugar","M80-DLT-BRN",39.99,"Guitar Straps","Accessories","2017-10-26T02:57:14.000Z"
45968,"MONO Classic Fader Messenger Bag, Grey","EFX-FAD-GRY",169.99,"DJ Equipment Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
47158,"MONO Classic Tick Accessory Case 2.0, Black","M80-TICK-V2-BLK",89.99,"Pedals & Pedalboards Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
48141,"MONO Pedalboard Large, Black","PFX-PB-L-BLK",269.99,"Pedalboards","Pedals & Pedalboards","2017-10-26T02:57:14.000Z"
48142,"MONO Pedalboard Large, Silver","PFX-PB-L-SLV",269.99,"Pedalboards","Pedals & Pedalboards","2017-10-26T02:57:14.000Z"
48143,"MONO Pedalboard Medium, Black","PFX-PB-M-BLK",219.99,"Pedalboards","Pedals & Pedalboards","2017-10-26T02:57:14.000Z"
48144,"MONO Pedalboard Medium, Silver","PFX-PB-M-SLV",219.99,"Pedalboards","Pedals & Pedalboards","2017-10-26T02:57:14.000Z"
48145,"MONO Pedalboard Small, Black","PFX-PB-S-BLK",179.99,"Pedalboards","Pedals & Pedalboards","2017-10-26T02:57:14.000Z"
48146,"MONO Pedalboard Small, Silver","PFX-PB-S-SLV",179.99,"Pedalboards","Pedals & Pedalboards","2017-10-26T02:57:14.000Z"
48147,"MONO Pedalboard Lite+, Black","PFX-PB-LP-BLK",129.99,"Pedalboards","Pedals & Pedalboards","2017-10-26T02:57:14.000Z"
48148,"MONO Pedalboard Lite+, Silver","PFX-PB-LP-SLV",129.99,"Pedalboards","Pedals & Pedalboards","2017-10-26T02:57:14.000Z"
48149,"MONO Classic Tick Accessory Case 2.0, Grey","M80-TICK-V2-GRY",89.99,"Pedals & Pedalboards Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
48150,"MONO Pro Accessory Case 2.0, Black","M80-PRO-V2-BLK",199.99,"Pedals & Pedalboards Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
48151,"MONO Club Accessory Case 2.0, Black","M80-CLUB-V2-BLK",149.99,"Pedals & Pedalboards Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
48152,"MONO Tour Accessory Case 2.0, Black","M80-TOUR-V2-BLK",169.99,"Pedals & Pedalboards Cases & Gig Bags","Cases & Gig Bags","2017-10-26T02:57:14.000Z"
